sample,calendar_date
608,2020-07-02
609,2020-07-15
610,2020-07-08
611,2020-07-24
612,2020-07-28
613,2020-07-26
614,2020-07-25
615,2020-07-26
616,2020-07-16
617,2020-07-29
618,2020-07-23
619,2020-07-27
620,2020-07-17
621,2020-07-29
622,2020-07-15
623,2020-07-29
624,2020-07-16
625,2020-07-19
626,2020-07-03
627,2020-07-02
628,2020-07-16
629,2020-07-21
630,2020-07-17
631,2020-07-22
632,2020-07-23
633,2020-07-06
634,2020-07-18
635,2020-06-30
636,2020-07-03
637,2020-07-03
638,2020-06-20
639,2020-07-01
640,2020-06-27
641,2020-06-25
642,2020-07-01
643,2020-06-12
644,2020-07-27
645,2020-07-02
646,2020-07-07
647,2020-07-27
648,2020-07-28
649,2020-06-22
650,2020-07-29
651,2020-07-18
652,2020-07-16
653,2020-07-01
654,2020-07-08
655,2020-07-09
656,2020-07-27
657,2020-07-12
658,2020-07-25
659,2020-07-24
660,2020-07-25
661,2020-07-25
662,2020-07-17
663,2020-07-25
664,2020-07-10
665,2020-07-01
666,2020-07-15
667,2020-07-24
668,2020-07-13
669,2020-07-12
670,2020-07-14
671,2020-07-29
672,2020-07-11
673,2020-06-26
674,2020-07-05
675,2020-07-27
676,2020-07-13
677,2020-07-15
678,2020-07-14
679,2020-06-28
680,2020-07-06
681,2020-07-09
682,2020-07-22
683,2020-07-26
684,2020-07-04
685,2020-06-27
686,2020-07-03
687,2020-06-30
688,2020-07-08
689,2020-07-27
690,2020-07-13
691,2020-07-22
692,2020-07-13
693,2020-07-27
694,2020-07-15
695,2020-07-18
696,2020-07-18
697,2020-07-24
698,2020-07-29
699,2020-07-26
700,2020-07-27
701,2020-07-12
702,2020-07-13
703,2020-07-22
704,2020-07-25
705,2020-07-26
706,2020-07-24
707,2020-07-22
708,2020-07-29
709,2020-07-29
710,2020-07-24
711,2020-07-29
712,2020-07-25
713,2020-07-28
714,2020-07-26
715,2020-07-21
716,2020-07-04
717,2020-07-29
718,2020-07-13
719,2020-07-26
720,2020-07-17
721,2020-07-15
722,2020-07-13
723,2020-07-23
724,2020-07-25
725,2020-07-28
726,2020-07-13
727,2020-07-24
728,2020-07-19
729,2020-07-28
730,2020-07-01
731,2020-07-14
732,2020-07-13
733,2020-07-23
734,2020-07-28
735,2020-07-26
736,2020-07-20
737,2020-07-29
738,2020-07-29
739,2020-07-29
